Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
36974461,08/17/2017 08:56:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 5 STREET,AVENUE B,EAST 5 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,Â A Litter Basket was placed at the location.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989216,203007,Unspecified,MANHATTAN,,,,,,,,40.7238826346116,-73.9820839410372,"(40.7238826346116, -73.9820839410372)"
36976239,08/17/2017 08:52:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 9 STREET,AVENUE B,EAST 9 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989701,203881,Unspecified,MANHATTAN,,,,,,,,40.726281266809444,-73.98033347711242,"(40.726281266809444, -73.98033347711242)"
36976256,08/17/2017 08:50:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 8 STREET,AVENUE B,EAST 8 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989581,203664,Unspecified,MANHATTAN,,,,,,,,40.72568572771039,-73.98076659391648,"(40.72568572771039, -73.98076659391648)"
36940926,08/14/2017 12:05:00 PM,08/15/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE C,EAST 6 STREET,AVENUE C,EAST 6 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/15/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989993,202870,Unspecified,MANHATTAN,,,,,,,,40.723506132494684,-73.97928084059959,"(40.723506132494684, -73.97928084059959)"
37023801,08/23/2017 01:57:00 PM,08/23/2017 01:57:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,229 CHRYSTIE STREET,CHRYSTIE STREET,STANTON STREET,2 AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/23/2017 01:57:00 PM,03 MANHATTAN,MANHATTAN,986678,202765,Unspecified,MANHATTAN,,,,,,,,40.72321946392125,-73.99124048367604,"(40.72321946392125, -73.99124048367604)"
36976841,08/17/2017 08:58:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 6 STREET,AVENUE B,EAST 6 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989341,203229,Unspecified,MANHATTAN,,,,,,,,40.724491899722686,-73.98163280505841,"(40.724491899722686, -73.98163280505841)"
36978078,08/17/2017 08:59:00 PM,08/18/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,AVENUE B,EAST 7 STREET,AVENUE B,EAST 7 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/18/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,989458,203441,Unspecified,MANHATTAN,,,,,,,,40.72507372015764,-73.98121053105199,"(40.72507372015764, -73.98121053105199)"
36995079,08/19/2017 11:27:00 AM,08/21/2017 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,85 CHRYSTIE STREET,CHRYSTIE STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/21/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,985864,200673,Unspecified,MANHATTAN,,,,,,,,40.717477614095124,-73.99417766006245,"(40.717477614095124, -73.99417766006245)"
52291699,10/24/2021 08:07:43 PM,,DSNY,Department of Sanitation,Litter Basket Complaint,Overflowing,Sidewalk,10002,ESSEX STREET,ESSEX STREET,ESSEX STREET,GRAND STREET,ESSEX STREET,GRAND STREET,INTERSECTION,,,,In Progress,,The Department of Sanitation cleaned the location.,11/07/2021 06:54:32 AM,03 MANHATTAN,MANHATTAN,987256,200393,Unspecified,MANHATTAN,,,,,,,,40.71670871778625,-73.98915628749786,"(40.71670871778625, -73.98915628749786)"
30387045,04/12/2015 10:45:00 PM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,EAST BROADWAY,CLINTON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,987808,199520,Unspecified,MANHATTAN,,,,,,,,40.714312336886195,-73.98716548836047,"(40.714312336886195, -73.98716548836047)"
34208390,08/30/2016 09:37:00 AM,08/30/2016 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,AVENUE B,EAST 9 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,08/30/2016 12:00:00 PM,03 MANHATTAN,MANHATTAN,989701,203881,Unspecified,MANHATTAN,,,,,,,,40.726281266809444,-73.98033347711242,"(40.726281266809444, -73.98033347711242)"
35539989,02/21/2017 12:36:00 PM,02/22/2017 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,DELANCEY STREET,DELANCEY STREET,BARUCH DRIVE,MANGIN STREET,,,BLOCKFACE,NEW YORK,,DSNY Garage,Closed,,The location does not meet the criteria for Litter Basket placement.,02/22/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,990426,199867,Unspecified,MANHATTAN,,,,,,,,40.715263328746914,-73.97772145154048,"(40.715263328746914, -73.97772145154048)"
35637786,03/05/2017 11:13:00 PM,03/06/2017 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,JEFFERSON STREET,MADISON STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,Â A Litter Basket was placed at the location.,03/06/2017 12:00:00 PM,03 MANHATTAN,MANHATTAN,987443,198958,Unspecified,MANHATTAN,,,,,,,,40.712769920203165,-73.98848239254335,"(40.712769920203165, -73.98848239254335)"
29113924,10/21/2014 10:03:00 AM,,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10002,,,,,PIKE STREET,EAST BROADWAY,INTERSECTION,NEW YORK,,DSNY Garage,Open,,The Department of Sanitation is in the process of investigating this complaint.,,03 MANHATTAN,MANHATTAN,986267,199349,Unspecified,MANHATTAN,,,,,,,,40.71384346822521,-73.99272427548813,"(40.71384346822521, -73.99272427548813)"
29123334,10/22/2014 12:01:00 PM,10/23/2014 12:00:00 PM,DSNY,Manhattan 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10003,324 EAST 5 STREET,EAST 5 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",10/23/2014 12:00:00 PM,03 MANHATTAN,MANHATTAN,987514,203942,Unspecified,MANHATTAN,,,,,,,,40.72644977430569,-73.98822386852451,"(40.72644977430569, -73.98822386852451)"
